name,popularity,play_count,revenue_for_plays
It's Still Rock and Roll to Me,67,92454648,410221.27
Pride and Joy,67,90238467,400388.08
Easy Lover,67,149561497,663604.36
We Belong,67,82737546,367106.49
Sussudio - 2016 Remaster,67,76830632,340897.51
All the Love in the World,67,43943900,194979.08
Always On My Mind,66,51548762,228721.86
Crazy On You,66,79099699,350965.36
Slow Ride,66,71698077,318124.37
Lyin' Eyes - 2013 Remaster,66,72888891,323408.01
Show Me The Way,66,542188504,2405690.39
Cruel Summer,65,64566656,286482.25
Your Love Is King,65,84944952,376900.75
Run To You,65,73561041,326390.34
Forever Young - 2019 Remaster,65,55244963,245121.90
Small Town,65,88982713,394816.30
Suck My Kiss,64,64792691,287485.17
The King of Wishful Thinking,64,46012379,204156.93
Wake Up,64,97808176,433974.88
Nightswimming,64,40983305,181842.92
One Last Cry,64,39667221,176003.46
He's the Greatest Dancer,63,61144583,271298.51
Thinking of You,63,21761364,96555.17
You May Be Right,63,34134092,151452.97
867-5309 / Jenny,63,39468287,175120.79
Give It To Me Baby,63,50478362,223972.49
I Feel for You,62,28566113,126747.84
Foolish Heart,62,24954271,110722.10
Pedro Y Pablo,62,23821420,105695.64
Shot in the Dark,62,33705287,149550.36
I'm Your Man,62,23844294,105797.13
Close My Eyes Forever,61,33544610,148837.43
Born To Be My Baby,61,39836901,176756.33
Once Bitten Twice Shy,61,30147330,133763.70
Head Like A Hole,61,32171844,142746.47
Love Buzz,61,35185818,156119.47
We Got The Beat,60,33692231,149492.43
Heavy Metal,60,22524583,99941.57
Urgent,60,31914712,141605.58
"Baby, Come To Me",60,29963426,132947.72
You Can Do Magic,60,28869850,128095.52
Elvira,59,17387574,77148.67
Tempted,59,17413718,77264.67
Waiting On A Friend - Remastered 2009,59,25962177,115194.18
You Dropped A Bomb On Me,59,26340153,116871.26
I Won't Hold You Back,59,21170375,93932.95
Cheeseburger In Paradise,58,25052441,111157.68
Romeo's Tune,58,11752023,52143.73
Brujeria,58,18718531,83054.12
It's My House,58,12647858,56118.55
She's Out of My Life - Single Version,58,31403498,139337.32
Let It Ride,57,19721672,87505.06
You Are Everything,57,17324317,76867.99
The Bitch Is Back,57,21567503,95695.01
Lovin' You,57,23212776,102995.09
Fly By Night,57,22983584,101978.16
Dog Eat Dog,56,14143728,62755.72
Hong Kong Garden,56,17587962,78037.79
"Train, Train",56,12243973,54326.51
Cruel to Be Kind,56,11691039,51873.14
The Long Run - 2013 Remaster,56,22213185,98559.90
Hammer Smashed Face,55,13797642,61220.14
Let's Get Rocked,55,10992439,48773.45
Green Machine,55,14561011,64607.21
Come Baby Come,55,16682222,74019.02
Milk It,55,14332130,63591.66
Freeze-Frame,54,11929959,52933.23
Over the Mountain,54,16837136,74706.37
Controversy,54,11582194,51390.19
All Those Years Ago - Remastered 2004,54,12831465,56933.21
Atomic Dog,54,13289441,58965.25
Tea for Two,53,831510,3689.41
If I Give My Heart to You (with The Mellomen),53,6535042,28995.98
Sin Ti - Remasterizado,53,7196010,31928.70
Softly As In A Morning Sunrise,53,4993896,22157.92
The Christmas Waltz - Remastered,53,13863674,61513.12
Mack the Knife,52,42139016,186970.81
Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take 1,52,16449593,72986.84
Where Did You Sleep Last Night,52,13957165,61927.94
I Get A Kick Out Of You,52,11151661,49479.92
Double Trouble,52,8698600,38595.69
"Sing, Sing, Sing",51,32342942,143505.63
Easy Living (with Teddy Wilson & His Orchestra),51,25215331,111880.42
In the Mood,51,51855138,230081.25
I've Got Plenty To Be Thankful For,51,2820144,12512.98
I Can't Quit You Baby,51,23868752,105905.65
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),50,305505721,1355528.88
Little Red Rooster,50,5985412,26557.27
Mambo Italiano (with The Mellomen) - 78rpm Version,50,10224806,45367.46
My Funny Valentine - Remastered,50,11485140,50959.57
Hello! Ma Baby,50,2428828,10776.71
Ain't Misbehavin',49,5766389,25585.47
Cheek to Cheek,49,7758683,34425.28
Christmas In Killarney,49,5637509,25013.63
"Baby, It's Cold Outside (with Dorothy Kirsten)",49,3693637,16388.67
Up On The House Top (Ho Ho Ho) (with Carl Cotner's Orchestra),49,2248798,9977.92
The Way You Look Tonight (with Teddy Wilson & His Orchestra) - Take 2,48,7136473,31664.53
Come Back To Sorrento,48,4823703,21402.77
