name,popularity,play_count,spotify_revenue,apple_revenue
Bulls On Parade,74,205865656,913425.92,1513112.57
Down Under,74,389548548,1728426.91,2863181.83
Truly Madly Deeply,74,256725553,1139091.28,1886932.81
Freak On a Leash,74,204812131,908751.43,1505369.16
Time After Time,73,325825120,1445686.06,2394814.63
99 Luftballons,73,207827423,922130.28,1527531.56
This Charming Man - 2011 Remaster,73,187726529,832942.61,1379789.99
You're the Inspiration - 2006 Remaster,73,161404106,716150.02,1186320.18
Forever Young,73,272289908,1208150.32,2001330.82
Follow Me,72,183226201,812974.65,1346712.58
(What A) Wonderful World,72,257767824,1143715.84,1894593.51
Papercut,72,212159510,941351.75,1559372.40
My Only Wish (This Year),72,203871484,904577.77,1498455.41
Trouble,72,239789901,1063947.79,1762455.77
Only Time,71,166479027,738667.44,1223620.85
7 Days,71,178198730,790667.77,1309760.67
Youth of the Nation,71,153241055,679930.56,1126321.75
Survivor,71,267066341,1184973.36,1962937.61
"Harder, Better, Faster, Stronger",71,172499416,765379.91,1267870.71
Straight Outta Compton,70,204921634,909237.29,1506174.01
Fuck Tha Police,70,176527711,783253.45,1297478.68
Love Shack,70,102265777,453753.25,751653.46
Epic,70,110432833,489990.48,811681.32
Rayando El Sol,70,149483544,663258.48,1098704.05
Dr. Feelgood,69,112636616,499768.67,827879.13
18 and Life,69,134378121,596235.72,987679.19
Here Comes Your Man,69,102659401,455499.76,754546.60
The Girl From Ipanema,69,89261579,396053.63,656072.61
Live And Let Die,69,71782429,318498.64,527600.85
Fly Like An Eagle,68,85901656,381145.65,631377.17
Isn't She Lovely,68,98277362,436056.66,722338.61
Cold as Ice,68,105405015,467682.05,774726.86
Last Train to London,68,57524858,255237.79,422807.71
Take It On the Run,68,72319307,320880.77,531546.91
It's Still Rock and Roll to Me,67,92454648,410221.27,679541.66
Pride and Joy,67,90238467,400388.08,663252.73
Easy Lover,67,149561497,663604.36,1099277.00
We Belong,67,82737546,367106.49,608120.96
Sussudio - 2016 Remaster,67,76830632,340897.51,564705.15
All the Love in the World,67,43943900,194979.08,322987.67
Always On My Mind,66,51548762,228721.86,378883.40
Crazy On You,66,79099699,350965.36,581382.79
Slow Ride,66,71698077,318124.37,526980.87
Lyin' Eyes - 2013 Remaster,66,72888891,323408.01,535733.35
Show Me The Way,66,542188504,2405690.39,3985085.50
Cruel Summer,65,64566656,286482.25,474564.92
Your Love Is King,65,84944952,376900.75,624345.40
Run To You,65,73561041,326390.34,540673.65
Forever Young - 2019 Remaster,65,55244963,245121.90,406050.48
Small Town,65,88982713,394816.30,654022.94
Suck My Kiss,64,64792691,287485.17,476226.28
The King of Wishful Thinking,64,46012379,204156.93,338190.99
Wake Up,64,97808176,433974.88,718890.09
Nightswimming,64,40983305,181842.92,301227.29
One Last Cry,64,39667221,176003.46,291554.07
He's the Greatest Dancer,63,61144583,271298.51,449412.69
Thinking of You,63,21761364,96555.17,159946.03
You May Be Right,63,34134092,151452.97,250885.58
867-5309 / Jenny,63,39468287,175120.79,290091.91
Give It To Me Baby,63,50478362,223972.49,371015.96
I Feel for You,62,28566113,126747.84,209960.93
Foolish Heart,62,24954271,110722.10,183413.89
Pedro Y Pablo,62,23821420,105695.64,175087.44
Shot in the Dark,62,33705287,149550.36,247733.86
I'm Your Man,62,23844294,105797.13,175255.56
Close My Eyes Forever,61,33544610,148837.43,246552.88
Born To Be My Baby,61,39836901,176756.33,292801.22
Once Bitten Twice Shy,61,30147330,133763.70,221582.88
Head Like A Hole,61,32171844,142746.47,236463.05
Love Buzz,61,35185818,156119.47,258615.76
We Got The Beat,60,33692231,149492.43,247637.90
Heavy Metal,60,22524583,99941.57,165555.69
Urgent,60,31914712,141605.58,234573.13
"Baby, Come To Me",60,29963426,132947.72,220231.18
You Can Do Magic,60,28869850,128095.52,212193.40
Elvira,59,17387574,77148.67,127798.67
Tempted,59,17413718,77264.67,127990.83
Waiting On A Friend - Remastered 2009,59,25962177,115194.18,190822.00
You Dropped A Bomb On Me,59,26340153,116871.26,193600.12
I Won't Hold You Back,59,21170375,93932.95,155602.26
Cheeseburger In Paradise,58,25052441,111157.68,184135.44
Romeo's Tune,58,11752023,52143.73,86377.37
Brujeria,58,18718531,83054.12,137581.20
It's My House,58,12647858,56118.55,92961.76
She's Out of My Life - Single Version,58,31403498,139337.32,230815.71
Let It Ride,57,19721672,87505.06,144954.29
You Are Everything,57,17324317,76867.99,127333.73
The Bitch Is Back,57,21567503,95695.01,158521.15
Lovin' You,57,23212776,102995.09,170613.90
Fly By Night,57,22983584,101978.16,168929.34
Dog Eat Dog,56,14143728,62755.72,103956.40
Hong Kong Garden,56,17587962,78037.79,129271.52
"Train, Train",56,12243973,54326.51,89993.20
Cruel to Be Kind,56,11691039,51873.14,85929.14
The Long Run - 2013 Remaster,56,22213185,98559.90,163266.91
