name,popularity,play_count,spotify_revenue,apple_revenue
War Dance For Wooden Indians,7,15246,67.65,112.06
Fashion Plate Daddy,7,14978,66.46,110.09
Kill-It-Kid Rag,7,4911,21.79,36.10
Kapitel 1 - Der Page und die Herzogin,7,3276,14.54,24.08
Sugar Foot Strut,7,3191,14.16,23.45
Se lipame,7,3076,13.65,22.61
Winter Weather - Mono Recording,6,3313098,14700.22,24351.27
Gut Bucket Blues,6,305562,1355.78,2245.88
How Deep Is the Ocean?,6,246863,1095.33,1814.44
Oriental Strut,6,98812,438.43,726.27
Cornet Chop Suey,6,62706,278.23,460.89
Barrelhouse Bessie From Basin Street,6,37671,167.15,276.88
Wake Up Jacob - 2020 Remaster,6,16993,75.40,124.90
'Buked and Scorned,5,30466,135.18,223.93
Gaston's House,5,21872,97.05,160.76
Concerto To End All Concertos,5,12709,56.39,93.41
Johnny's Gone To Hilo,5,9409,41.75,69.16
Wheatleigh Hall,5,8667,38.46,63.70
"Navajo: Night Chant, Yeibichei",5,2556,11.34,18.79
Luna Sobre el Condado,5,1652,7.33,12.14
"Can't Get Out of This Mood - From the Film ""Seven Days Leave""",4,296440,1315.30,2178.83
Everything Happens for the Best,4,125056,554.87,919.16
Ciribiribin (They're So In Love),4,115238,511.31,847.00
Bad Luck Blues,4,69052,306.38,507.53
You're Gonna See a Lot of Me (with Teddy Wilson & His Orchestra) - Take 1,4,44103,195.69,324.16
It's a Sin to Tell a Lie (with Teddy Wilson & His Orchestra) - Take 1,4,33940,150.59,249.46
Lonely Melody,3,10814,47.98,79.48
Danny Boy,3,10308,45.74,75.76
Sugar,3,6451,28.62,47.41
Dust,3,3742,16.60,27.50
Goin' Home,2,6902,30.62,50.73
Every Night About This Time,2,6767,30.03,49.74
Our Love Affair,2,6001,26.63,44.11
When Irish Eyes Are Smiling,2,5559,24.67,40.86
Oh! Look At Me Now,2,5280,23.43,38.81
Rhumboogie,2,4734,21.00,34.79
Chizzlin' Sam,2,1901,8.43,13.97
Gati Hendrakusuma,2,1000,4.44,7.35
Tedhak Saking,2,1000,4.44,7.35
Gati Mares,2,1000,4.44,7.35
O Marenariello,1,8807,39.08,64.73
Lonesome Shack,1,5176,22.97,38.04
Back In Your Own Backyard,1,4809,21.34,35.35
Lovable,1,4441,19.70,32.64
Red Hot Chicago,1,4419,19.61,32.48
When,1,3887,17.25,28.57
My Pet,1,3881,17.22,28.53
Button Up Your Overcoat,1,2816,12.49,20.70
Hottentot Potentate - Live,1,2811,12.47,20.66
The Pearls,1,2532,11.23,18.61
Love Come And Go,1,2146,9.52,15.77
Where The River Shannon Flows,1,1865,8.28,13.71
Molly Brannigan,1,1697,7.53,12.47
Honey In The Honeycomb,1,1405,6.23,10.33
Shake Your Ashes - Live,1,1397,6.20,10.27
Gati Main-main,1,1000,4.44,7.35
Une Femme Qui Passe,1,1000,4.44,7.35
Gati Kumencar,1,1000,4.44,7.35
Lazy Daddy,1,1000,4.44,7.35
Cheer Up and Smile,1,1000,4.44,7.35
Jodi Bolo,0,54080,239.95,397.49
"Nacchite Ye Panaina (From ""Dohchay"")",0,12344,54.77,90.73
Rapsodie espagnole: PrÃ©lude Ã  la nuit,0,11656,51.72,85.67
JacÃ´k - Mountain Dancde,0,1481,6.57,10.89
Sur une Ride du Soleil,0,1075,4.77,7.90
Sunburst Rag,0,1000,4.44,7.35
Tomar Bhuban Hote,0,1000,4.44,7.35
At the Zoo: Lion,0,1000,4.44,7.35
"Bruch: Violin Concerto No. 1 in G Minor, Op. 26: II. Adagio",0,1000,4.44,7.35
Mercedes,0,1000,4.44,7.35
Perry's Victory On Lake Erie,0,1000,4.44,7.35
Easter Hymn,0,1000,4.44,7.35
